ExperimentName,Subject,Session,Age,Group,Handedness,Sex,Label,Identity,Shape,Target.ACC,Target.RESP,Target.RT
breaking_mn,13,1,20,2,right,female,self,stranger,C.bmp,1,n,523
breaking_mn,13,1,20,2,right,female,stranger,Self,T.bmp,1,m,601
breaking_mn,13,1,20,2,right,female,friend,stranger,C.bmp,1,m,671
breaking_mn,13,1,20,2,right,female,self,Self,T.bmp,1,n,374
breaking_mn,13,1,20,2,right,female,stranger,Friend,S.bmp,1,n,628
breaking_mn,13,1,20,2,right,female,friend,stranger,C.bmp,1,m,529
breaking_mn,13,1,20,2,right,female,friend,Friend,S.bmp,1,n,607
breaking_mn,13,1,20,2,right,female,friend,Friend,S.bmp,1,n,617
breaking_mn,13,1,20,2,right,female,self,Friend,S.bmp,1,m,402
breaking_mn,13,1,20,2,right,female,self,Self,T.bmp,1,n,428
breaking_mn,13,1,20,2,right,female,friend,Self,T.bmp,1,n,580
breaking_mn,13,1,20,2,right,female,stranger,Friend,S.bmp,1,n,553
breaking_mn,13,1,20,2,right,female,self,stranger,C.bmp,1,n,324
breaking_mn,13,1,20,2,right,female,friend,stranger,C.bmp,1,m,733
breaking_mn,13,1,20,2,right,female,friend,Self,T.bmp,1,n,429
breaking_mn,13,1,20,2,right,female,stranger,Friend,S.bmp,1,n,507
breaking_mn,13,1,20,2,right,female,friend,Friend,S.bmp,1,n,513
breaking_mn,13,1,20,2,right,female,stranger,Self,T.bmp,1,m,655
breaking_mn,13,1,20,2,right,female,stranger,stranger,C.bmp,1,n,606
breaking_mn,13,1,20,2,right,female,friend,Self,T.bmp,1,n,470
breaking_mn,13,1,20,2,right,female,friend,stranger,C.bmp,1,m,617
breaking_mn,13,1,20,2,right,female,self,Self,T.bmp,1,n,399
breaking_mn,13,1,20,2,right,female,self,Friend,S.bmp,1,m,573
breaking_mn,13,1,20,2,right,female,friend,Friend,S.bmp,1,n,499
breaking_mn,13,1,20,2,right,female,friend,stranger,C.bmp,1,m,561
breaking_mn,13,1,20,2,right,female,stranger,stranger,C.bmp,1,n,503
breaking_mn,13,1,20,2,right,female,stranger,Self,T.bmp,0,n,572
breaking_mn,13,1,20,2,right,female,stranger,Friend,S.bmp,1,n,642
breaking_mn,13,1,20,2,right,female,friend,Self,T.bmp,1,n,648
breaking_mn,13,1,20,2,right,female,friend,Friend,S.bmp,1,n,704
breaking_mn,13,1,20,2,right,female,stranger,Self,T.bmp,1,m,620
breaking_mn,13,1,20,2,right,female,self,Friend,S.bmp,1,m,575
breaking_mn,13,1,20,2,right,female,self,Self,T.bmp,1,n,557
breaking_mn,13,1,20,2,right,female,stranger,stranger,C.bmp,1,n,702
breaking_mn,13,1,20,2,right,female,self,stranger,C.bmp,1,n,476
breaking_mn,13,1,20,2,right,female,self,Self,T.bmp,1,n,482
breaking_mn,13,1,20,2,right,female,self,Friend,S.bmp,1,m,624
breaking_mn,13,1,20,2,right,female,self,stranger,C.bmp,1,n,438
breaking_mn,13,1,20,2,right,female,self,Self,T.bmp,1,n,435
breaking_mn,13,1,20,2,right,female,friend,Friend,S.bmp,0,m,531
breaking_mn,13,1,20,2,right,female,friend,stranger,C.bmp,0,n,797
breaking_mn,13,1,20,2,right,female,stranger,Self,T.bmp,0,n,791
breaking_mn,13,1,20,2,right,female,stranger,stranger,C.bmp,1,n,637
breaking_mn,13,1,20,2,right,female,self,stranger,C.bmp,0,,0
breaking_mn,13,1,20,2,right,female,friend,stranger,C.bmp,1,m,457
breaking_mn,13,1,20,2,right,female,stranger,Friend,S.bmp,1,n,567
breaking_mn,13,1,20,2,right,female,self,Friend,S.bmp,0,n,461
breaking_mn,13,1,20,2,right,female,self,Friend,S.bmp,1,m,605
breaking_mn,13,1,20,2,right,female,self,stranger,C.bmp,1,n,709
breaking_mn,13,1,20,2,right,female,self,stranger,C.bmp,1,n,469
breaking_mn,13,1,20,2,right,female,friend,Self,T.bmp,1,n,556
breaking_mn,13,1,20,2,right,female,friend,Self,T.bmp,1,n,708
breaking_mn,13,1,20,2,right,female,stranger,Self,T.bmp,1,m,596
breaking_mn,13,1,20,2,right,female,self,Friend,S.bmp,1,m,620
breaking_mn,13,1,20,2,right,female,stranger,Friend,S.bmp,1,n,492
breaking_mn,13,1,20,2,right,female,stranger,Friend,S.bmp,1,n,650
breaking_mn,13,1,20,2,right,female,stranger,Self,T.bmp,1,m,632
breaking_mn,13,1,20,2,right,female,friend,Self,T.bmp,1,n,470
breaking_mn,13,1,20,2,right,female,stranger,stranger,C.bmp,1,n,516
breaking_mn,13,1,20,2,right,female,stranger,stranger,C.bmp,1,n,522
breaking_mn,13,1,20,2,right,female,friend,Friend,S.bmp,1,n,864
breaking_mn,13,1,20,2,right,female,self,Self,T.bmp,1,n,494
breaking_mn,13,1,20,2,right,female,friend,Friend,S.bmp,1,n,652
breaking_mn,13,1,20,2,right,female,friend,stranger,C.bmp,1,m,442
breaking_mn,13,1,20,2,right,female,self,Self,T.bmp,1,n,496
breaking_mn,13,1,20,2,right,female,friend,stranger,C.bmp,0,n,1038
breaking_mn,13,1,20,2,right,female,friend,stranger,C.bmp,1,m,644
breaking_mn,13,1,20,2,right,female,stranger,Self,T.bmp,1,m,666
breaking_mn,13,1,20,2,right,female,friend,Friend,S.bmp,1,n,720
breaking_mn,13,1,20,2,right,female,friend,Self,T.bmp,1,n,558
breaking_mn,13,1,20,2,right,female,stranger,Friend,S.bmp,1,n,628
breaking_mn,13,1,20,2,right,female,stranger,stranger,C.bmp,1,n,498
breaking_mn,13,1,20,2,right,female,self,Friend,S.bmp,0,n,576
breaking_mn,13,1,20,2,right,female,stranger,stranger,C.bmp,1,n,694
breaking_mn,13,1,20,2,right,female,friend,Friend,S.bmp,1,n,693
breaking_mn,13,1,20,2,right,female,self,stranger,C.bmp,1,n,634
breaking_mn,13,1,20,2,right,female,stranger,Self,T.bmp,1,m,658
breaking_mn,13,1,20,2,right,female,self,stranger,C.bmp,1,n,664
breaking_mn,13,1,20,2,right,female,self,Self,T.bmp,1,n,518
breaking_mn,13,1,20,2,right,female,stranger,stranger,C.bmp,1,n,708
breaking_mn,13,1,20,2,right,female,stranger,Friend,S.bmp,1,n,610
breaking_mn,13,1,20,2,right,female,stranger,Friend,S.bmp,1,n,576
breaking_mn,13,1,20,2,right,female,self,stranger,C.bmp,1,n,542
breaking_mn,13,1,20,2,right,female,friend,Self,T.bmp,1,n,692
breaking_mn,13,1,20,2,right,female,self,Self,T.bmp,1,n,484
breaking_mn,13,1,20,2,right,female,friend,stranger,C.bmp,1,m,796
breaking_mn,13,1,20,2,right,female,friend,Friend,S.bmp,1,n,660
breaking_mn,13,1,20,2,right,female,self,Friend,S.bmp,1,m,444
breaking_mn,13,1,20,2,right,female,stranger,Self,T.bmp,1,m,676
breaking_mn,13,1,20,2,right,female,friend,Self,T.bmp,1,n,588
breaking_mn,13,1,20,2,right,female,self,Self,T.bmp,1,n,500
breaking_mn,13,1,20,2,right,female,self,Friend,S.bmp,1,m,644
breaking_mn,13,1,20,2,right,female,self,Self,T.bmp,1,n,471
breaking_mn,13,1,20,2,right,female,stranger,Friend,S.bmp,1,n,460
breaking_mn,13,1,20,2,right,female,self,stranger,C.bmp,1,n,442
breaking_mn,13,1,20,2,right,female,stranger,stranger,C.bmp,1,n,761
breaking_mn,13,1,20,2,right,female,friend,Self,T.bmp,1,n,662
breaking_mn,13,1,20,2,right,female,self,Friend,S.bmp,1,m,565
breaking_mn,13,1,20,2,right,female,friend,stranger,C.bmp,0,n,705
breaking_mn,13,1,20,2,right,female,self,Self,T.bmp,1,n,539
breaking_mn,13,1,20,2,right,female,stranger,stranger,C.bmp,1,n,645
breaking_mn,13,1,20,2,right,female,stranger,Friend,S.bmp,1,n,597
breaking_mn,13,1,20,2,right,female,stranger,Self,T.bmp,1,m,724
breaking_mn,13,1,20,2,right,female,self,stranger,C.bmp,1,n,608
breaking_mn,13,1,20,2,right,female,self,Friend,S.bmp,1,m,479
breaking_mn,13,1,20,2,right,female,self,Self,T.bmp,1,n,740
breaking_mn,13,1,20,2,right,female,self,Friend,S.bmp,0,n,663
breaking_mn,13,1,20,2,right,female,self,stranger,C.bmp,1,n,448
breaking_mn,13,1,20,2,right,female,friend,stranger,C.bmp,1,m,822
breaking_mn,13,1,20,2,right,female,stranger,Self,T.bmp,1,m,644
breaking_mn,13,1,20,2,right,female,friend,Self,T.bmp,1,n,778
breaking_mn,13,1,20,2,right,female,stranger,Friend,S.bmp,1,n,670
breaking_mn,13,1,20,2,right,female,stranger,stranger,C.bmp,1,n,699
breaking_mn,13,1,20,2,right,female,friend,Friend,S.bmp,1,n,730
breaking_mn,13,1,20,2,right,female,friend,stranger,C.bmp,1,m,540
breaking_mn,13,1,20,2,right,female,friend,Friend,S.bmp,1,n,738
breaking_mn,13,1,20,2,right,female,stranger,Self,T.bmp,1,m,555
breaking_mn,13,1,20,2,right,female,friend,Self,T.bmp,1,n,504
